iter	Passed	Remaining
416	2930	67343
417	2938	67354
418	2947	67388
419	2953	67376
420	2960	67368
421	2972	67468
422	2981	67497
423	2990	67534
424	3001	67610
425	3009	67630
426	3016	67625
427	3028	67725
428	3035	67719
429	3043	67741
430	3050	67731
431	3063	67846
432	3077	67988
433	3089	68091
434	3098	68121
435	3106	68149
436	3121	68311
437	3135	68448
438	3144	68487
439	3154	68539
440	3165	68619
441	3174	68645
442	3183	68685
443	3194	68748
444	3204	68806
445	3214	68861
446	3223	68895
447	3237	69025
448	3249	69119
449	3262	69241
450	3270	69252
451	3283	69349
452	3296	69472
453	3305	69503
454	3315	69554
455	3326	69624
456	3335	69655
457	3345	69690
458	3355	69743
459	3370	69900
460	3381	69962
461	3392	70044
462	3405	70156
463	3415	70184
464	3425	70243
465	3435	70287
466	3446	70350
467	3454	70368
468	3464	70413
469	3475	70476
470	3486	70534
471	3496	70577
472	3508	70661
473	3516	70680
474	3527	70741
475	3539	70816
476	3552	70922
477	3564	70997
478	3576	71082
479	3587	71149
480	3597	71192
481	3612	71328
482	3621	71366
483	3629	71357
484	3640	71414
485	3655	71560
486	3668	71652
487	3679	71717
488	3689	71754
489	3699	71805
490	3707	71800
491	3721	71918
492	3732	71987
493	3746	72093
494	3755	72121
495	3769	72231
496	3779	72273
497	3790	72324
498	3800	72356
499	3828	72736
500	3837	72768
501	3847	72792
502	3855	72803
503	3866	72846
504	3874	72842
505	3884	72883
506	3894	72915
507	3902	72911
508	3912	72950
509	3919	72939
510	3933	73044
511	3942	73063
512	3951	73066
513	3963	73156
514	3976	73232
515	3984	73239
516	3991	73221
517	4000	73230
518	4008	73217
519	4019	73281
520	4028	73293
521	4038	73328
522	4047	73347
523	4059	73417
524	4069	73443
525	4079	73473
526	4087	73473
527	4098	73525
528	4107	73536
529	4115	73543
530	4123	73524
531	4131	73528
532	4142	73573
533	4148	73547
534	4157	73553
535	4165	73550
536	4173	73539
537	4183	73579
538	4191	73581
539	4199	73573
540	4207	73570
541	4215	73567
542	4224	73579
543	4232	73567
544	4241	73589
545	4253	73648
546	4267	73755
547	4276	73763
548	4284	73765
549	4293	73773
550	4306	73843
551	4314	73847
552	4325	73897
553	4335	73917
554	4345	73949
555	4356	73990
556	4364	73990
557	4373	74000
558	4383	74027
559	4392	74041
560	4400	74038
561	4409	74048
562	4417	74046
563	4424	74030
564	4431	74000
565	4438	73986
566	4448	74011
567	4460	74063
568	4470	74098
569	4479	74105
570	4491	74165
571	4502	74208
572	4511	74224
573	4524	74305
574	4533	74313
575	4542	74319
576	4556	74408
577	4565	74427
578	4573	74409
579	4586	74488
580	4595	74506
581	4606	74542
582	4619	74611
583	4629	74635
584	4638	74658
585	4645	74635
586	4656	74664
587	4663	74652
588	4675	74702
589	4682	74684
590	4690	74672
591	4698	74668
592	4706	74659
593	4715	74672
594	4723	74660
595	4731	74652
596	4738	74638
597	4749	74676
598	4758	74683
599	4767	74684
600	4773	74655
601	4782	74666
602	4792	74686
603	4800	74674
604	4807	74658
605	4815	74641
606	4826	74687
607	4841	74791
608	4850	74800
609	4860	74824
610	4869	74830
611	4883	74905
612	4890	74893
613	4900	74908
614	4908	74908
615	4918	74922
616	4930	74973
617	4939	74984
618	4947	74978
619	4954	74962
620	4961	74929
621	4971	74961
622	4978	74938
623	4986	74932
624	4994	74911
625	5001	74890
626	5010	74897
627	5017	74882
628	5026	74879
629	5033	74858
630	5040	74841
631	5051	74872
632	5058	74859
633	5065	74829
634	5072	74810
635	5078	74777
636	5085	74756
637	5095	74774
638	5104	74776
639	5114	74806
640	5123	74803
641	5132	74820
642	5139	74796
643	5149	74808
644	5156	74789
645	5168	74833
646	5179	74880
647	5188	74875
648	5196	74873
649	5205	74882
650	5215	74901
651	5229	74977
652	5237	74963
653	5248	75002
654	5262	75079
655	5274	75122
656	5284	75149
657	5297	75205
658	5307	75232
659	5317	75253
660	5327	75273
661	5337	75288
662	5348	75319
663	5359	75350
664	5366	75339
665	5380	75406
666	5394	75481
667	5405	75514
668	5424	75662
669	5438	75737
670	5449	75764
671	5472	75968
672	5484	76008
673	5493	76012
674	5512	76150
675	5526	76220
676	5536	76245
677	5552	76348
678	5561	76350
679	5574	76402
680	5591	76514
681	5601	76528
682	5611	76548
683	5626	76630
684	5640	76696
685	5649	76704
686	5661	76741
687	5677	76841
688	5688	76875
689	5697	76874
690	5708	76904
691	5720	76947
692	5727	76917
693	5737	76940
694	5747	76947
695	5754	76929
696	5764	76935
697	5772	76932
698	5787	77005
699	5797	77019
700	5809	77063
701	5819	77072
702	5829	77091
703	5836	77061
704	5845	77073
705	5854	77065
706	5862	77053
707	5870	77048
708	5878	77039
709	5886	77027
710	5895	77021
711	5904	77022
712	5917	77070
713	5927	77084
714	5937	77103
715	5951	77174
716	5961	77186
717	5970	77181
718	5977	77158
719	5985	77149
720	5997	77182
721	6006	77180
722	6013	77166
723	6022	77161
724	6030	77152
725	6039	77150
726	6047	77142
727	6055	77121
728	6062	77098
729	6069	77076
730	6078	77080
731	6086	77060
732	6093	77034
733	6105	77071
734	6114	77077
735	6123	77076
736	6130	77046
737	6137	77026
738	6145	77017
739	6155	77028
740	6163	77017
741	6171	77000
742	6179	76984
743	6186	76961
744	6198	77001
745	6207	77001
746	6218	77029
747	6226	77015
748	6236	77027
749	6245	77026
750	6253	77017
751	6261	77004
752	6269	76995
753	6281	77029
754	6290	77023
755	6301	77053
756	6309	77039
757	6319	77052
758	6328	77050
759	6336	77033
760	6343	77012
761	6350	76994
762	6360	76998
763	6367	76977
764	6375	76961
765	6382	76941
766	6388	76908
767	6399	76927
768	6407	76920
769	6414	76892
770	6422	76882
771	6430	76863
772	6440	76876
773	6448	76869
774	6456	76855
775	6463	76834
776	6473	76840
777	6485	76877
778	6496	76896
779	6503	76873
780	6512	76869
781	6521	76873
782	6529	76864
783	6536	76837
784	6543	76814
785	6550	76791
786	6558	76771
787	6565	76756
788	6573	76745
789	6582	76734
790	6589	76716
791	6601	76755
792	6609	76739
793	6617	76722
794	6625	76713
795	6633	76698
796	6641	76688
797	6649	76678
798	6657	76665
799	6664	76640
800	6671	76622
801	6679	76607
802	6688	76600
803	6698	76619
804	6706	76606
805	6717	76629
806	6729	76664
807	6738	76655
808	6746	76650
809	6755	76644
810	6765	76654
811	6772	76637
812	6780	76615
813	6786	76585
814	6796	76596
815	6805	76591
816	6813	76583
817	6820	76558
818	6826	76526
819	6834	76511
820	6843	76507
821	6853	76524
822	6862	76517
823	6870	76505
824	6877	76482
825	6887	76497
826	6897	76508
827	6909	76542
828	6921	76567
829	6933	76597
830	6941	76593
831	6950	76593
832	6958	76575
833	6968	76591
834	6980	76615
835	6992	76647
836	7002	76664
837	7012	76665
838	7024	76704
839	7036	76733
840	7052	76802
841	7065	76853
842	7076	76866
843	7086	76872
844	7097	76898
845	7109	76925
846	7119	76934
847	7133	76986
848	7147	77044
849	7160	77080
850	7177	77159
851	7192	77229
852	7202	77231
853	7215	77276
854	7225	77281
855	7234	77281
856	7248	77333
857	7263	77391
858	7276	77429
859	7285	77429
860	7296	77445
861	7307	77467
862	7317	77476
863	7326	77475
864	7338	77503
865	7346	77491
866	7354	77473
867	7364	77475
868	7378	77530
869	7389	77550
870	7397	77535
871	7407	77541
872	7414	77518
873	7424	77527
874	7432	77514
875	7439	77491
876	7448	77478
877	7455	77461
878	7466	77476
879	7474	77460
880	7488	77512
881	7496	77495
882	7506	77503
883	7514	77493
884	7526	77517
885	7533	77493
886	7542	77491
887	7551	77485
888	7559	77469
889	7565	77441
890	7573	77430
891	7587	77470
892	7596	77465
893	7604	77458
894	7612	77442
895	7619	77421
896	7630	77432
897	7638	77425
898	7648	77430
899	7655	77409
900	7664	77399
901	7673	77401
902	7682	77399
903	7691	77392
904	7699	77380
905	7709	77382
906	7716	77358
907	7723	77334
908	7731	77320
909	7737	77292
910	7744	77270
911	7753	77259
912	7761	77252
913	7769	77237
914	7781	77260
915	7791	77267
916	7799	77259
917	7808	77249
918	7816	77238
919	7823	77213
920	7831	77201
921	7838	77178
922	7846	77164
923	7854	77149
924	7861	77129
925	7869	77112
926	7879	77124
927	7888	77116
928	7896	77100
929	7903	77079
930	7911	77066
931	7919	77055
932	7926	77033
933	7934	77020
934	7942	77004
935	7948	76974
936	7955	76947
937	7962	76929
938	7969	76900
